Date,Open,High,Low,Close,Adj Close,Volume
2007-01-03,2429.719971,2454.62,2394.659912,2423.159912,2423.159912,2435280000
2007-01-04,2423.820068,2460.51001,2413.75,2453.429932,2453.429932,2104210000
2007-01-05,2445.070068,2445.070068,2420.590088,2434.25,2434.25,2060360000
2007-01-08,2435.25,2445.63,2421.13,2438.199951,2438.199951,1905620000
2007-01-09,2443.26001,2449.87,2423.56,2443.83,2443.83,2144160000
2007-01-10,2434.04,2461.340088,2427.9,2459.33,2459.33,2274210000
2007-01-11,2464.889893,2489.46,2463.389893,2484.85,2484.85,2436270000
2007-01-12,2481.719971,2502.820068,2481.54,2502.820068,2502.820068,2175810000
2007-01-16,2504.56,2508.929932,2493.92,2497.780029,2497.780029,2139550000
2007-01-17,2487.889893,2496.929932,2475.83,2479.42,2479.42,2273880000
2007-01-18,2475.33,2475.800049,2438.110107,2443.21,2443.21,2456180000
2007-01-19,2437.63,2453.79,2435.679932,2451.31,2451.31,2037890000
2007-01-22,2454.5,2454.659912,2422.92,2431.070068,2431.070068,1900860000
2007-01-23,2428.26001,2447.030029,2425.98,2431.409912,2431.409912,2001100000
2007-01-24,2443.01001,2466.280029,2440.820068,2466.280029,2466.280029,2202040000
2007-01-25,2469.27,2470.51001,2430.56,2434.23999,2434.23999,2202280000
2007-01-26,2441.1,2443.44,2418.610107,2435.48999,2435.48999,2067080000
2007-01-29,2434.639893,2451.83,2431.31,2441.090088,2441.090088,1915400000
2007-01-30,2446.659912,2451,2437.42,2448.639893,2448.639893,1769600000
2007-01-31,2443.33,2471.199951,2433.76001,2463.929932,2463.929932,2186710000
2007-02-01,2474.08,2481.38,2458.71,2468.38,2468.38,2170040000
2007-02-02,2474.19,2478.409912,2466.56,2475.88,2475.88,1876770000
2007-02-05,2475.030029,2481.570068,2466.179932,2470.6,2470.6,1875310000
2007-02-06,2475.780029,2478.23999,2454.6,2471.48999,2471.48999,2113710000
2007-02-07,2483.73,2495.27,2475.570068,2490.5,2490.5,2198410000
2007-02-08,2484.5,2492.409912,2477.71,2488.67,2488.67,1995880000
2007-02-09,2491.65,2496.52,2453.44,2459.820068,2459.820068,2186590000
2007-02-12,2460.63,2460.63,2444.679932,2450.38,2450.38,1840250000
2007-02-13,2455.25,2464.56,2452.17,2459.88,2459.88,1821390000
2007-02-14,2468.04,2494.51001,2468.04,2488.38,2488.38,2173580000
2007-02-15,2489.840088,2498.37,2485.51001,2497.1,2497.1,1949670000
2007-02-16,2491.48,2497.92,2482.659912,2496.31,2496.31,1887430000
2007-02-20,2491.75,2514.219971,2479.92,2513.04,2513.04,2165590000
2007-02-21,2503.54,2518.42,2500.96,2518.42,2518.42,2012450000
2007-02-22,2523.360107,2531.42,2509.06,2524.94,2524.94,1850960000
2007-02-23,2522.530029,2522.840088,2506.949951,2515.1,2515.1,2012220000
2007-02-26,2525.04,2525.98,2492.54,2504.52,2504.52,1912480000
2007-02-27,2468.73999,2470.92,2402.360107,2407.860107,2407.860107,3037380000
2007-02-28,2411.889893,2431.860107,2395.35,2416.15,2416.15,2620450000
2007-03-01,2377.179932,2419.15,2359.44,2404.21,2404.21,2710750000
2007-03-02,2389.860107,2401.26001,2368,2368,2368,2352790000
2007-03-05,2368,2377.840088,2340.4,2340.679932,2340.679932,2291680000
2007-03-06,2363.15,2390.139893,2361.27,2385.139893,2385.139893,2121430000
2007-03-07,2382.65,2388.780029,2371.92,2374.639893,2374.639893,1959330000
2007-03-08,2396.550049,2402.199951,2382,2387.73,2387.73,1989910000
2007-03-09,2403.13,2404.800049,2375.570068,2387.550049,2387.550049,1875050000
2007-03-12,2385.139893,2404.02,2384.389893,2402.29,2402.29,1637980000
2007-03-13,2388.860107,2395.98,2350.570068,2350.570068,2350.570068,2235000000
2007-03-14,2350.94,2371.73999,2331.570068,2371.73999,2371.73999,2255630000
2007-03-15,2371.02,2382.62,2367.73999,2378.699951,2378.699951,1690430000
2007-03-16,2376.820068,2385.320068,2364.360107,2372.659912,2372.659912,2031650000
2007-03-19,2384.659912,2399.800049,2381.550049,2394.409912,2394.409912,1650970000
2007-03-20,2394.820068,2412.639893,2393.19,2408.21,2408.21,1761940000
2007-03-21,2415.54,2455.92,2405.389893,2455.92,2455.92,2158740000
2007-03-22,2457.06,2457.37,2442.51001,2451.73999,2451.73999,1887290000
2007-03-23,2451.83,2459.96,2447.81,2448.929932,2448.929932,1634470000
2007-03-26,2451.6,2455.63,2428,2455.63,2455.63,1817870000
2007-03-27,2448.92,2450.030029,2435.19,2437.429932,2437.429932,1708060000
2007-03-28,2427.19,2434.320068,2413.090088,2417.1,2417.1,1868310000
2007-03-29,2432.5,2433.04,2396.83,2417.88,2417.88,1926070000
2007-03-30,2419.909912,2432.199951,2403.01001,2421.639893,2421.639893,1998550000
2007-04-02,2425.360107,2427.94,2409.04,2422.26001,2422.26001,1784170000
2007-04-03,2432.300049,2456.17,2432.300049,2450.33,2450.33,1932030000
2007-04-04,2451.94,2461.48999,2448.69,2458.69,2458.69,1933300000
2007-04-05,2457.65,2471.340088,2455.6,2471.340088,2471.340088,1537800000
2007-04-09,2478.02,2478.679932,2464.570068,2469.179932,2469.179932,1714880000
2007-04-10,2468.13,2479.46,2468.030029,2477.610107,2477.610107,1834530000
2007-04-11,2477.76001,2478.51001,2452.050049,2459.31,2459.31,1957970000
2007-04-12,2455.719971,2480.409912,2448.71,2480.320068,2480.320068,1905500000
2007-04-13,2479.69,2491.94,2468.23,2491.94,2491.94,1834320000
2007-04-16,2500.550049,2519.030029,2500.550049,2518.33,2518.33,1779410000
2007-04-17,2519.12,2522.070068,2510.6,2516.949951,2516.949951,1900920000
2007-04-18,2507.340088,2518.21,2499.65,2510.5,2510.5,2046760000
2007-04-19,2497.219971,2515.949951,2490.340088,2505.35,2505.35,2112920000
2007-04-20,2525.23,2532.23999,2515.23999,2526.389893,2526.389893,2084270000
2007-04-23,2525.77,2531.4,2518.469971,2523.67,2523.67,1928530000
2007-04-24,2528.389893,2529.48,2509.26001,2524.54,2524.54,2220610000
2007-04-25,2533.54,2551.389893,2523.840088,2547.889893,2547.889893,2644120000
