,date,price,1d,2d,3d,4d,5d
0,2007-02-12,1433.37,1446.4853515625,1458.676025390625,1455.627197265625,1459.606689453125,1464.33740234375
1,2007-02-13,1444.26,1452.9197998046875,1457.84716796875,1457.8607177734375,1461.764404296875,1461.0731201171875
2,2007-02-14,1455.3,1451.0184326171875,1459.1390380859375,1449.928466796875,1460.10546875,1460.1094970703125
3,2007-02-15,1456.81,1453.378662109375,1448.6622314453125,1447.326416015625,1449.45947265625,1444.117431640625
4,2007-02-16,1455.54,1453.4658203125,1447.2862548828125,1442.84619140625,1446.221923828125,1445.5506591796875
5,2007-02-20,1459.68,1454.616455078125,1453.6348876953125,1450.3304443359375,1448.0965576171875,1447.31298828125
6,2007-02-21,1457.63,1457.9915771484375,1449.698486328125,1436.4327392578125,1422.2626953125,1416.3287353515625
7,2007-02-22,1456.38,1452.2833251953125,1432.7725830078125,1412.7076416015625,1402.4036865234375,1386.8607177734375
8,2007-02-23,1451.19,1447.3604736328125,1431.226806640625,1422.942138671875,1420.7752685546875,1407.6510009765625
9,2007-02-26,1449.37,1432.8355712890625,1414.104248046875,1405.6298828125,1397.141845703125,1374.4931640625
10,2007-02-27,1399.04,1405.0560302734375,1406.0640869140625,1391.6605224609375,1385.43896484375,1398.2998046875
11,2007-02-28,1406.82,1401.5323486328125,1394.003662109375,1384.93310546875,1395.1947021484375,1398.2623291015625
12,2007-03-01,1403.17,1381.111572265625,1395.35107421875,1399.8056640625,1401.439453125,1412.986083984375
13,2007-03-02,1387.17,1373.818359375,1387.02294921875,1392.59228515625,1407.2958984375,1410.6112060546875
14,2007-03-05,1374.12,1390.6558837890625,1392.2303466796875,1402.2227783203125,1411.921875,1409.85791015625
15,2007-03-06,1395.41,1397.8643798828125,1397.5189208984375,1396.558349609375,1398.3211669921875,1373.1038818359375
16,2007-03-07,1391.97,1401.859375,1407.279541015625,1398.6339111328125,1392.9437255859375,1392.7750244140625
17,2007-03-08,1401.89,1404.03271484375,1396.703369140625,1389.0738525390625,1389.0775146484375,1396.9481201171875
18,2007-03-09,1402.84,1402.21923828125,1390.83544921875,1394.82373046875,1393.259521484375,1378.1912841796875
19,2007-03-12,1406.6,1393.0738525390625,1390.7315673828125,1398.8663330078125,1387.6004638671875,1380.7099609375
20,2007-03-13,1377.95,1396.4373779296875,1383.062744140625,1384.4647216796875,1392.4696044921875,1403.11669921875
21,2007-03-14,1387.17,1372.650146484375,1373.2935791015625,1386.0438232421875,1396.6787109375,1402.6649169921875
22,2007-03-15,1392.28,1390.2940673828125,1402.305908203125,1412.882080078125,1428.747802734375,1434.1763916015625
23,2007-03-16,1386.95,1403.913818359375,1420.4869384765625,1434.53955078125,1447.5615234375,1461.4324951171875
24,2007-03-19,1402.06,1429.8995361328125,1434.1573486328125,1443.903076171875,1452.4580078125,1451.6793212890625
25,2007-03-20,1410.94,1422.980712890625,1437.0279541015625,1456.9248046875,1453.492919921875,1455.694091796875
26,2007-03-21,1435.04,1433.7794189453125,1439.2880859375,1440.767578125,1432.715576171875,1436.4267578125
27,2007-03-22,1434.54,1436.613525390625,1442.2471923828125,1432.5181884765625,1434.6732177734375,1441.9791259765625
28,2007-03-23,1436.11,1444.3203125,1434.0682373046875,1422.3555908203125,1417.958984375,1418.2598876953125
29,2007-03-26,1437.5,1428.2835693359375,1421.75927734375,1415.3524169921875,1417.198974609375,1418.1265869140625
30,2007-03-27,1428.61,1423.7830810546875,1428.442138671875,1425.4888916015625,1428.3896484375,1431.150146484375
31,2007-03-28,1417.23,1421.1368408203125,1427.484619140625,1426.4234619140625,1423.225830078125,1425.38818359375
32,2007-03-29,1422.53,1429.4954833984375,1424.9107666015625,1439.087158203125,1445.109375,1442.0628662109375
33,2007-03-30,1420.86,1430.0821533203125,1434.0003662109375,1437.8743896484375,1440.941650390625,1446.5181884765625
34,2007-04-02,1424.55,1437.5675048828125,1442.4774169921875,1446.31005859375,1449.371337890625,1453.0538330078125
35,2007-04-03,1437.77,1440.07080078125,1444.6798095703125,1448.9976806640625,1450.175537109375,1448.0113525390625
36,2007-04-04,1439.37,1447.1824951171875,1446.0703125,1451.15087890625,1451.68359375,1451.330322265625
37,2007-04-05,1443.76,1448.6861572265625,1447.85986328125,1444.6737060546875,1453.5755615234375,1465.4735107421875
38,2007-04-09,1444.61,1451.8380126953125,1451.85302734375,1458.8843994140625,1465.5672607421875,1468.9482421875
39,2007-04-10,1448.39,1442.4288330078125,1436.51953125,1434.4019775390625,1436.0540771484375,1436.9267578125
40,2007-04-11,1438.87,1449.30126953125,1452.09326171875,1455.6368408203125,1460.4979248046875,1469.5589599609375
41,2007-04-12,1447.8,1460.1314697265625,1464.1597900390625,1466.638671875,1473.4755859375,1470.21630859375
42,2007-04-13,1452.85,1456.4561767578125,1456.5877685546875,1452.6661376953125,1448.539794921875,1440.46728515625
43,2007-04-16,1468.33,1472.386962890625,1474.9349365234375,1473.8741455078125,1476.5283203125,1474.095947265625
44,2007-04-17,1471.48,1472.6824951171875,1472.6043701171875,1470.193115234375,1471.89111328125,1472.40576171875
45,2007-04-18,1472.5,1472.4285888671875,1472.170654296875,1472.153076171875,1468.6866455078125,1471.397705078125
46,2007-04-19,1470.73,1467.5770263671875,1467.5733642578125,1471.3023681640625,1468.1046142578125,1469.7119140625
47,2007-04-20,1484.35,1483.51171875,1485.2430419921875,1478.4959716796875,1475.21240234375,1467.1512451171875
48,2007-04-23,1480.93,1485.1376953125,1493.298828125,1488.1956787109375,1486.7984619140625,1479.563232421875
