,date,price,1d,2d,3d,4d,5d
0,2007-02-12,24.88,24.95150375366211,25.077789306640625,25.008708953857425,24.89651107788086,24.753137588500977
1,2007-02-13,25.04,25.12657928466797,25.27982711791992,25.03933525085449,24.730602264404297,24.30870056152344
2,2007-02-14,25.22,25.31777000427246,25.470563888549805,25.4150505065918,25.1165828704834,24.939382553100582
3,2007-02-15,25.17,25.355960845947266,25.238664627075195,24.86716651916504,25.112327575683597,25.12606239318848
4,2007-02-16,24.95,24.975526809692383,24.988725662231445,25.01023292541504,25.21737289428711,25.066221237182617
5,2007-02-20,24.95,25.10148048400879,25.047887802124023,25.21461296081543,25.19283103942871,25.33221244812012
6,2007-02-21,24.73,24.682933807373047,24.90945053100586,25.21737670898437,25.24355125427246,25.506601333618164
7,2007-02-22,24.54,24.6799430847168,24.579479217529297,24.831768035888672,24.99432182312012,25.29451942443848
8,2007-02-23,24.31,24.24476432800293,24.141340255737305,24.21626091003418,24.28899574279785,24.229713439941406
9,2007-02-26,24.52,24.432270050048828,24.33683586120605,24.396596908569336,24.22736167907715,24.167526245117188
10,2007-02-27,23.85,23.55708312988281,23.24574851989746,23.331920623779297,23.24301528930664,23.178674697875977
11,2007-02-28,23.68,23.83352470397949,23.865947723388672,23.935083389282227,24.03905296325684,24.060102462768555
12,2007-03-01,23.76,24.15770149230957,24.478126525878903,24.54638290405273,24.64546012878418,24.747053146362305
13,2007-03-02,23.52,24.072622299194336,24.317663192749023,24.35621833801269,24.54599952697754,24.32659912109375
14,2007-03-05,23.43,23.71917533874512,23.712305068969727,23.745386123657227,24.05073356628418,23.675655364990234
15,2007-03-06,23.9,23.79548072814941,23.686431884765625,23.689542770385746,23.746397018432617,23.35619735717773
16,2007-03-07,23.98,23.722949981689453,23.70612144470215,23.77088165283203,23.604507446289062,23.74251937866211
17,2007-03-08,24.11,24.097042083740234,24.214031219482425,24.090791702270508,24.12331962585449,24.230131149291992
18,2007-03-09,24.11,24.134689331054688,23.98324203491211,24.035133361816406,23.97307777404785,24.225854873657227
19,2007-03-12,24.08,23.999792098999023,24.049848556518555,24.21575736999512,24.07693862915039,24.214359283447266
20,2007-03-13,23.66,23.89251518249512,23.61023330688477,24.054353713989254,24.1931209564209,24.57880973815918
21,2007-03-14,23.59,24.110673904418945,24.171918869018555,24.930694580078125,24.99888610839844,25.168664932250977
22,2007-03-15,23.71,24.514556884765625,24.631872177124023,25.162466049194336,25.16387939453125,25.508209228515625
23,2007-03-16,23.71,24.512208938598636,24.571746826171875,24.584396362304688,24.72484397888184,24.50721549987793
24,2007-03-19,24.06,24.440692901611328,24.927396774291992,25.050518035888672,25.310340881347656,25.33653259277344
25,2007-03-20,24.23,24.41634178161621,24.65645408630371,25.154787063598636,25.287107467651367,24.98979759216309
26,2007-03-21,24.53,24.452829360961918,24.471628189086918,24.41385078430176,24.32107353210449,24.450746536254883
27,2007-03-22,24.47,24.42752456665039,24.48285484313965,24.16120338439941,24.10231208801269,24.291980743408203
28,2007-03-23,24.35,24.35171127319336,24.270511627197266,24.172706604003903,24.083126068115234,24.05524635314941
29,2007-03-26,24.35,24.264936447143555,24.19994735717773,24.233598709106445,24.20406913757324,24.020511627197266
30,2007-03-27,24.18,24.20856285095215,24.31226348876953,24.3095817565918,24.37889671325684,24.109102249145508
31,2007-03-28,23.89,24.18209457397461,24.41829872131348,24.39318084716797,24.34274673461914,24.23463630676269
32,2007-03-29,24.11,23.98362159729004,23.96279525756836,24.014108657836918,23.880895614624023,23.922948837280277
33,2007-03-30,23.97,23.976980209350582,24.072906494140625,24.1516170501709,24.2995662689209,24.261993408203125
34,2007-04-02,24.04,24.158376693725582,24.070247650146484,24.10831642150879,24.210668563842773,24.09956359863281
35,2007-04-03,24.35,24.345439910888672,24.35863494873047,24.44672203063965,24.47195053100586,24.529468536376957
36,2007-04-04,24.49,24.559070587158203,24.514179229736328,24.635618209838867,24.656814575195312,24.5814208984375
37,2007-04-05,24.52,24.657032012939453,24.6361083984375,24.660648345947266,24.57481002807617,24.787029266357425
38,2007-04-09,24.67,24.755672454833984,24.676511764526367,24.639802932739254,24.588193893432617,24.890554428100582
39,2007-04-10,24.67,24.814151763916016,24.737693786621094,24.59438705444336,24.60060310363769,24.857295989990234
40,2007-04-11,24.71,24.88947296142578,25.03413200378418,25.170774459838867,25.328168869018555,25.2531852722168
41,2007-04-12,25.1,25.33140563964844,25.3243350982666,25.262733459472656,25.345853805541992,25.061241149902344
42,2007-04-13,25.3,25.279787063598636,25.27923583984375,25.21181869506836,25.228166580200195,25.208402633666992
43,2007-04-16,25.56,25.347230911254883,25.281354904174805,25.303422927856445,25.221433639526367,25.273778915405277
44,2007-04-17,25.52,25.35810852050781,25.260028839111328,25.11567497253418,24.96626663208008,25.122188568115234
45,2007-04-18,25.41,25.254852294921875,25.12163734436035,24.963848114013672,24.882713317871094,25.06314849853516
46,2007-04-19,25.68,25.52893829345703,25.61601448059082,25.7003173828125,25.72150611877441,25.84135627746582
47,2007-04-20,25.59,25.589609146118164,25.806856155395508,25.76062393188477,25.80441093444824,25.853534698486328
48,2007-04-23,25.0,25.122285842895508,25.197969436645508,25.16075325012207,25.295360565185547,25.103382110595703
49,2007-04-24,24.81,24.840606689453125,24.922426223754883,24.804548263549805,24.759056091308597,24.35492706298828
50,2007-04-25,24.97,24.9760799407959,24.91514587402344,24.4547176361084,24.401939392089844,23.92367553710937
51,2007-04-26,25.35,25.48470497131348,25.447811126708984,25.32355308532715,25.47237968444824,25.676023483276367
52,2007-04-27,25.25,25.313989639282227,25.252668380737305,25.15247344970703,25.25475311279297,25.2852840423584
53,2007-04-30,25.1,25.113473892211918,25.14408302307129,25.14329719543457,25.1806583404541,25.18964958190918
54,2007-05-01,25.23,25.359134674072266,25.36470413208008,25.45566177368164,25.361160278320312,25.438438415527344
55,2007-05-02,25.24,25.425683975219727,25.325580596923828,25.544832229614254,25.52675437927246,25.47031784057617
