,date,price,1d,2d,3d,4d,5d
0,2010-08-06,1.31,1.4537242650985718,1.4100356101989746,1.4012243747711182,1.4435352087020874,1.3781527280807495
1,2010-08-09,1.31,1.4498896598815918,1.4561161994934082,1.4325202703475952,1.458328127861023,1.4388612508773804
2,2010-08-10,1.27,1.272764801979065,1.2815134525299072,1.2857649326324463,1.2952860593795776,1.2682486772537231
3,2010-08-11,1.19,1.201847791671753,1.289734125137329,1.3192055225372314,1.37533700466156,1.3971141576766968
4,2010-08-12,1.17,1.1040081977844238,1.198112726211548,1.233407497406006,1.222935676574707,1.25201416015625
5,2010-08-13,1.22,1.1581580638885498,1.3115808963775637,1.3613085746765137,1.3303797245025637,1.320409655570984
6,2010-08-16,1.25,1.2910083532333374,1.3636984825134275,1.403967022895813,1.4314451217651367,1.4376499652862549
7,2010-08-17,1.28,1.322805881500244,1.3377766609191897,1.3221420049667358,1.3173290491104126,1.13911771774292
8,2010-08-18,1.25,1.303585410118103,1.2579227685928345,1.1951762437820437,1.1671199798583984,1.0647755861282349
9,2010-08-19,1.25,1.2687703371047974,1.1820071935653689,1.1541147232055664,1.183613657951355,1.126201033592224
10,2010-08-20,1.27,1.239618897438049,1.2606712579727173,1.3428386449813845,1.4054226875305176,1.392587661743164
11,2010-08-23,1.34,1.359559178352356,1.3790087699890137,1.3862842321395874,1.3650137186050415,1.350480556488037
12,2010-08-24,1.28,1.3358839750289917,1.3467963933944702,1.3564858436584473,1.3592346906661987,1.3508541584014893
13,2010-08-25,1.33,1.397299885749817,1.43308424949646,1.4705008268356323,1.4399702548980713,1.4641892910003662
14,2010-08-26,1.32,1.3243391513824463,1.3300673961639404,1.303773283958435,1.234877586364746,1.2482892274856567
15,2010-08-27,1.31,1.3308799266815186,1.3493576049804688,1.3469913005828855,1.3144619464874268,1.3063573837280271
16,2010-08-30,1.32,1.3032108545303345,1.3159972429275513,1.347000002861023,1.3343158960342407,1.298335075378418
17,2010-08-31,1.3,1.290130853652954,1.3029744625091553,1.33282208442688,1.332507848739624,1.2421491146087646
18,2010-09-01,1.36,1.333709955215454,1.3714367151260376,1.3709416389465332,1.3632067441940308,1.3227802515029907
19,2010-09-02,1.4,1.4050898551940918,1.4405248165130615,1.4253140687942505,1.425564527511597,1.3924202919006348
20,2010-09-03,1.4,1.407690405845642,1.398598074913025,1.382148027420044,1.3670976161956787,1.3717926740646362
21,2010-09-07,1.37,1.3796501159667969,1.3604614734649658,1.2790616750717163,1.313480019569397,1.2876636981964111
22,2010-09-08,1.39,1.3894726037979126,1.3970454931259155,1.373722791671753,1.3607380390167236,1.3014065027236938
23,2010-09-09,1.38,1.3699252605438232,1.3812652826309204,1.375410079956055,1.3479608297348022,1.3506277799606323
24,2010-09-10,1.34,1.348465085029602,1.364526629447937,1.3590595722198486,1.3757221698760986,1.4049746990203855
25,2010-09-13,1.38,1.3989555835723877,1.4231427907943726,1.4431811571121216,1.456980586051941,1.469072699546814
26,2010-09-14,1.41,1.3974530696868896,1.4256069660186768,1.4259296655654907,1.4385385513305664,1.428476333618164
27,2010-09-15,1.47,1.4617955684661863,1.466336965560913,1.4338544607162476,1.4385989904403689,1.4110207557678225
28,2010-09-16,1.4,1.4261943101882937,1.4460898637771606,1.4185945987701416,1.4207481145858765,1.4170750379562378
29,2010-09-17,1.35,1.386178970336914,1.3978642225265503,1.394200325012207,1.4145549535751345,1.3952475786209106
30,2010-09-20,1.4,1.420965313911438,1.4147636890411377,1.4402542114257812,1.4435160160064695,1.4422614574432373
31,2010-09-21,1.38,1.4019674062728882,1.4071673154830933,1.4051494598388672,1.3800368309020996,1.3836544752120972
32,2010-09-22,1.32,1.3569802045822144,1.3177354335784912,1.3195396661758425,1.2946529388427734,1.2604081630706787
33,2010-09-23,1.3,1.3233768939971924,1.3432753086090088,1.2541224956512451,1.3136833906173706,1.2890474796295166
34,2010-09-24,1.34,1.359340786933899,1.3979508876800537,1.406496524810791,1.3978028297424316,1.3902387619018557
35,2010-09-27,1.37,1.3535473346710205,1.407288908958435,1.4152475595474243,1.4292298555374146,1.4115391969680786
36,2010-09-28,1.43,1.4230018854141235,1.468567967414856,1.471959114074707,1.500486135482788,1.5105648040771484
37,2010-09-29,1.47,1.4641849994659424,1.4728875160217283,1.461025953292847,1.4489794969558716,1.4570488929748535
38,2010-09-30,1.36,1.4328134059906006,1.4521660804748535,1.45617938041687,1.4535199403762815,1.4789868593215942
39,2010-10-01,1.37,1.3945643901824951,1.3724802732467651,1.3511857986450195,1.3763667345046997,1.3904340267181396
40,2010-10-04,1.4,1.3781030178070068,1.3600374460220337,1.393867015838623,1.3925044536590576,1.428444743156433
41,2010-10-05,1.41,1.4168740510940552,1.3842880725860596,1.3190051317214966,1.2794119119644165,1.2555137872695925
42,2010-10-06,1.36,1.3603907823562622,1.31208336353302,1.2762707471847534,1.2727516889572144,1.2333136796951294
43,2010-10-07,1.36,1.3159780502319336,1.284358263015747,1.330283284187317,1.3582875728607178,1.3433618545532229
44,2010-10-08,1.36,1.307752251625061,1.323943257331848,1.392212986946106,1.336426019668579,1.2758468389511108
45,2010-10-11,1.35,1.3822195529937744,1.4038853645324707,1.431098222732544,1.439314365386963,1.4477486610412598
46,2010-10-12,1.35,1.3777706623077393,1.384368658065796,1.4071738719940186,1.4042940139770508,1.4058305025100708
47,2010-10-13,1.37,1.403217911720276,1.4189947843551636,1.3797199726104736,1.367081880569458,1.3677184581756592
48,2010-10-14,1.38,1.4206428527832031,1.4459309577941897,1.4282171726226809,1.4335579872131348,1.4318219423294067
